transaction_id,account_id,customer_id,beneficiary_id,device_id,is_suspicious,suspicious_pattern,transaction_timestamp,amount,currency,transaction_type,merchant_category,origin_country,destination_country,channel,transaction_amount_log,is_round_amount,is_high_value_transaction,is_cross_border_transaction,is_high_risk_destination,is_unusual_channel,transaction_hour,transaction_day_of_week,transaction_month,is_night_transaction,amount_zscore_by_account,transaction_count_by_account,average_amount_by_account,amount_vs_account_average_ratio,transactions_last_1h,transactions_last_24h,transaction_amount_last_24h,hours_since_previous_transaction,high_velocity_flag,rapid_sequence_flag,customer_risk_band_encoded,account_age_days,customer_tenure_days,account_transaction_count,account_total_transaction_amount,account_average_transaction_amount,account_suspicious_transaction_rate,beneficiary_risk_band_encoded,is_new_beneficiary,beneficiary_country_risk_flag,beneficiary_transaction_count,beneficiary_total_amount,device_risk_band_encoded,device_country_mismatch_flag,device_transaction_count,shared_device_flag,round_amount_count_by_account,structuring_pattern_flag,rapid_movement_flag,high_risk_jurisdiction_flag,mule_activity_indicator,account_takeover_indicator,new_beneficiary_high_value_flag,round_amount_repetition_flag
TXN0000001,ACCT000040,CUST000496,BEN000643,DEV000376,False,normal_activity,2025-04-04 14:56:00,296.11,USD,bank_transfer,grocery,GB,BR,mobile,5.694102440602895,0,0,1,0,0,14,4,4,0,1.5912370427061318,7,130.83,2.2633188106703352,1.0,1.0,296.11,323.9,0,0,1,77,546,7,915.8100000000001,130.83,0.14285714285714285,1,0,0,10,21130.170000000002,1,0,13,1,0.0,0,0,0,0,0,0,0
TXN0000002,ACCT000072,CUST000346,BEN000525,DEV000431,False,normal_activity,2025-10-23 05:18:00,158.24,USD,card_payment,travel,GB,GB,web,5.070412498132116,0,0,0,0,0,5,3,10,1,0.03263744157131663,10,150.961,1.048217751604719,1.0,1.0,158.24,143.71666666666667,0,0,1,1158,1021,10,1509.6100000000001,150.961,0.1,1,0,0,9,1171.39,1,0,7,1,0.0,0,0,0,0,0,0,0
TXN0000003,ACCT000563,CUST000189,BEN000375,DEV000392,False,normal_activity,2025-05-04 01:11:00,65.4,USD,card_payment,grocery,GB,GB,web,4.1956970564823886,0,0,0,0,0,1,6,5,1,0.32980557020373036,3,56.06,1.1666072065643953,1.0,1.0,65.4,1307.15,0,0,1,1217,1859,3,168.18,56.06,0.0,1,0,0,5,1685.6,2,0,7,1,0.0,0,0,0,0,0,0,0
TXN0000004,ACCT000175,CUST000248,BEN000716,DEV000340,False,normal_activity,2025-12-23 14:26:00,193.39,GBP,card_payment,travel,GB,GB,web,5.269866450374021,0,0,0,0,0,14,1,12,0,0.18855453285069318,6,161.215,1.1995782030208106,1.0,1.0,193.39,1637.0666666666666,0,0,1,1994,1761,6,967.2900000000001,161.215,0.0,2,0,0,11,1551.3,3,0,9,1,0.0,0,0,0,0,0,0,0
TXN0000005,ACCT000058,CUST000130,BEN000717,DEV000154,False,normal_activity,2025-11-10 16:33:00,49.89,SGD,cash_withdrawal,cash_services,FR,US,mobile,3.9296664406007413,0,0,1,0,0,16,0,11,0,-0.4245985653343336,9,93.40444444444444,0.5341287590407309,1.0,1.0,49.89,1245.0166666666667,0,0,3,90,1212,9,840.64,93.40444444444444,0.0,1,0,0,5,1205.39,2,0,7,1,0.0,0,0,0,0,0,0,0
TXN0000006,ACCT000417,CUST000163,BEN000774,DEV000258,False,normal_activity,2025-01-25 23:07:00,86.24,SGD,bank_transfer,grocery,FR,DE,branch,4.468662941333428,0,0,1,0,1,23,5,1,1,0.0,1,86.24,1.0,1.0,1.0,86.24,-1.0,0,0,2,956,617,1,86.24,86.24,0.0,1,0,0,8,1529.1100000000001,1,0,11,1,0.0,0,0,0,0,0,0,0
TXN0000007,ACCT000104,CUST000247,BEN000073,DEV000327,False,normal_activity,2025-10-01 00:01:00,40.97,SGD,card_payment,grocery,GB,FR,api,3.7369550773454994,0,0,1,0,1,0,2,10,1,-0.4689528914223164,11,155.0472727272727,0.26424199071251,1.0,1.0,40.97,1874.65,0,0,1,1492,1502,11,1705.52,155.0472727272727,0.0,1,0,0,10,1265.44,3,0,11,1,0.0,0,0,0,0,0,0,0
TXN0000008,ACCT000043,CUST000150,BEN000713,DEV000593,False,normal_activity,2025-09-20 07:47:00,159.15,EUR,card_payment,grocery,GB,DE,api,5.076110876055167,0,0,1,0,1,7,5,9,0,0.7387258719110114,6,108.45166666666667,1.4674739899494398,1.0,1.0,159.15,2971.116666666667,0,0,2,1175,1235,6,650.71,108.45166666666667,0.0,2,0,0,6,847.95,1,0,12,1,0.0,0,0,0,0,0,0,0
TXN0000009,ACCT000285,CUST000285,BEN000155,DEV000540,False,normal_activity,2025-04-23 10:15:00,35.29,AED,cash_withdrawal,electronics,BR,GB,mobile,3.591542221224979,0,0,1,0,0,10,2,4,0,-0.41083465816738257,7,797.2485714285714,0.044264739084780874,1.0,1.0,35.29,714.3833333333333,0,0,3,142,1672,7,5580.74,797.2485714285714,0.14285714285714285,3,0,0,4,332.45,1,0,10,1,0.0,0,0,0,0,0,0,0
TXN0000010,ACCT000386,CUST000408,BEN000497,DEV000442,False,normal_activity,2025-12-02 00:15:00,63.67,SGD,bank_transfer,electronics,US,AE,web,4.169297415458502,0,0,1,1,0,0,1,12,1,-0.5473930376070039,7,118.8,0.5359427609427609,1.0,1.0,63.67,417.65,0,0,1,1986,1755,7,831.6,118.8,0.14285714285714285,1,0,1,11,806.62,2,0,11,1,0.0,0,0,1,0,0,0,0
