alert_id,transaction_id,account_id,alert_type,alert_severity,alert_status,alert_timestamp,alert_reason
ALERT000001,TXN0000018,ACCT000161,mule_activity,medium,in_review,2025-04-09T21:11:00,Synthetic alert generated for mule account style behaviour.
ALERT000002,TXN0000021,ACCT000463,new_beneficiary,medium,open,2025-03-03T05:07:00,Synthetic alert generated for new beneficiary risk.
ALERT000003,TXN0000034,ACCT000521,mule_activity,high,open,2025-05-20T18:46:00,Synthetic alert generated for mule account style behaviour.
ALERT000004,TXN0000067,ACCT000134,account_takeover,high,closed_false_positive,2025-01-07T08:15:00,Synthetic alert generated for account takeover style behaviour.
ALERT000005,TXN0000073,ACCT000662,mule_activity,medium,in_review,2025-10-06T06:10:00,Synthetic alert generated for mule account style behaviour.
ALERT000006,TXN0000079,ACCT000662,rapid_movement,medium,in_review,2025-06-20T06:50:00,Synthetic alert generated for rapid movement of funds.
ALERT000007,TXN0000080,ACCT000508,jurisdiction_risk,high,in_review,2025-11-19T18:27:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000008,TXN0000087,ACCT000542,shared_device,medium,closed_false_positive,2025-04-14T14:49:00,Synthetic alert generated for shared device behaviour.
ALERT000009,TXN0000090,ACCT000151,velocity_rule,high,open,2025-03-07T13:58:00,Synthetic alert generated for high transaction velocity.
ALERT000010,TXN0000094,ACCT000495,jurisdiction_risk,high,in_review,2025-10-09T03:49:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000011,TXN0000096,ACCT000039,velocity_rule,medium,in_review,2025-04-05T22:58:00,Synthetic alert generated for high transaction velocity.
ALERT000012,TXN0000099,ACCT000311,jurisdiction_risk,high,closed_false_positive,2025-12-04T03:03:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000013,TXN0000113,ACCT000171,account_takeover,high,open,2025-03-16T10:13:00,Synthetic alert generated for account takeover style behaviour.
ALERT000014,TXN0000121,ACCT000374,jurisdiction_risk,high,escalated,2025-08-17T00:26:00,Synthetic alert generated for high risk jurisdiction exposure.
ALERT000015,TXN0000127,ACCT000231,rapid_movement,medium,open,2025-08-25T19:40:00,Synthetic alert generated for rapid movement of funds.
ALERT000016,TXN0000128,ACCT000146,rapid_movement,medium,in_review,2025-03-27T11:48:00,Synthetic alert generated for rapid movement of funds.
