transaction_id,account_id,beneficiary_id,device_id,transaction_timestamp,amount,currency,transaction_type,merchant_category,origin_country,destination_country,channel,is_suspicious,suspicious_pattern
TXN0000001,ACCT000040,BEN000643,DEV000376,2025-04-04T14:56:00,296.11,USD,bank_transfer,grocery,GB,BR,mobile,False,normal_activity
TXN0000002,ACCT000072,BEN000525,DEV000431,2025-10-23T05:18:00,158.24,USD,card_payment,travel,GB,GB,web,False,normal_activity
TXN0000003,ACCT000563,BEN000375,DEV000392,2025-05-04T01:11:00,65.4,USD,card_payment,grocery,GB,GB,web,False,normal_activity
TXN0000004,ACCT000175,BEN000716,DEV000340,2025-12-23T14:26:00,193.39,GBP,card_payment,travel,GB,GB,web,False,normal_activity
TXN0000005,ACCT000058,BEN000717,DEV000154,2025-11-10T16:33:00,49.89,SGD,cash_withdrawal,cash_services,FR,US,mobile,False,normal_activity
TXN0000006,ACCT000417,BEN000774,DEV000258,2025-01-25T23:07:00,86.24,SGD,bank_transfer,grocery,FR,DE,branch,False,normal_activity
TXN0000007,ACCT000104,BEN000073,DEV000327,2025-10-01T00:01:00,40.97,SGD,card_payment,grocery,GB,FR,api,False,normal_activity
TXN0000008,ACCT000043,BEN000713,DEV000593,2025-09-20T07:47:00,159.15,EUR,card_payment,grocery,GB,DE,api,False,normal_activity
TXN0000009,ACCT000285,BEN000155,DEV000540,2025-04-23T10:15:00,35.29,AED,cash_withdrawal,electronics,BR,GB,mobile,False,normal_activity
TXN0000010,ACCT000386,BEN000497,DEV000442,2025-12-02T00:15:00,63.67,SGD,bank_transfer,electronics,US,AE,web,False,normal_activity
TXN0000011,ACCT000370,BEN000527,DEV000488,2025-10-15T10:21:00,122.88,GBP,international_transfer,cash_services,US,GB,api,False,normal_activity
TXN0000012,ACCT000410,BEN000165,DEV000485,2025-04-07T23:12:00,171.29,EUR,cash_withdrawal,crypto_exchange,US,US,web,False,normal_activity
TXN0000013,ACCT000017,BEN000007,DEV000401,2025-10-23T16:07:00,31.85,GBP,card_payment,crypto_exchange,GB,NL,mobile,False,normal_activity
TXN0000014,ACCT000204,BEN000755,DEV000496,2025-09-17T05:40:00,131.34,EUR,card_payment,grocery,DE,FR,branch,False,normal_activity
TXN0000015,ACCT000241,BEN000713,DEV000044,2025-07-06T21:18:00,27.56,USD,bank_transfer,gambling,GB,DE,branch,False,normal_activity
TXN0000016,ACCT000206,BEN000140,DEV000014,2025-11-22T00:07:00,9.63,AED,bank_transfer,grocery,DE,DE,web,False,normal_activity
TXN0000017,ACCT000392,BEN000482,DEV000267,2025-07-05T09:05:00,34.01,AED,bank_transfer,crypto_exchange,GB,ZA,mobile,False,normal_activity
TXN0000018,ACCT000161,BEN000122,DEV000033,2025-04-09T19:00:00,141.34,EUR,bank_transfer,gambling,US,ZA,web,True,mule_account_style_behaviour
TXN0000019,ACCT000443,BEN000454,DEV000204,2025-07-05T23:25:00,65.96,SGD,card_payment,grocery,GB,DE,web,False,normal_activity
TXN0000020,ACCT000655,BEN000255,DEV000120,2025-06-26T12:11:00,41.2,SGD,international_transfer,grocery,TR,DE,mobile,False,normal_activity
TXN0000021,ACCT000463,BEN000602,DEV000575,2025-03-03T02:23:00,70.1,EUR,bank_transfer,grocery,GB,US,web,True,new_beneficiary_risk
TXN0000022,ACCT000273,BEN000459,DEV000394,2025-07-29T01:37:00,68.04,AED,bank_transfer,gambling,GB,DE,mobile,False,normal_activity
TXN0000023,ACCT000305,BEN000399,DEV000026,2025-10-24T15:31:00,116.71,SGD,card_payment,travel,DE,US,mobile,False,normal_activity
TXN0000024,ACCT000410,BEN000546,DEV000375,2025-11-17T20:58:00,15.63,USD,bank_transfer,travel,US,GB,branch,False,normal_activity
TXN0000025,ACCT000507,BEN000381,DEV000440,2025-09-18T19:56:00,60.82,USD,international_transfer,electronics,FR,AE,mobile,False,normal_activity
TXN0000026,ACCT000212,BEN000011,DEV000196,2025-06-28T16:36:00,74.58,EUR,card_payment,crypto_exchange,GB,TR,mobile,False,normal_activity
TXN0000027,ACCT000027,BEN000477,DEV000530,2025-11-07T00:36:00,19.51,AED,bank_transfer,electronics,US,US,branch,False,normal_activity
TXN0000028,ACCT000492,BEN000623,DEV000584,2025-12-06T16:48:00,19.28,GBP,bank_transfer,crypto_exchange,US,GB,web,False,normal_activity
TXN0000029,ACCT000464,BEN000393,DEV000589,2025-10-25T17:18:00,48.03,EUR,international_transfer,cash_services,GB,ZA,web,False,normal_activity
TXN0000030,ACCT000072,BEN000141,DEV000056,2025-10-17T05:35:00,67.2,EUR,bank_transfer,grocery,GB,DE,mobile,False,normal_activity
TXN0000031,ACCT000439,BEN000007,DEV000270,2025-10-14T16:25:00,67.41,AED,card_payment,grocery,FR,NL,web,False,normal_activity
TXN0000032,ACCT000051,BEN000238,DEV000467,2025-06-28T13:46:00,40.42,SGD,bank_transfer,electronics,GB,GB,mobile,False,normal_activity
TXN0000033,ACCT000451,BEN000615,DEV000266,2025-10-12T20:05:00,38.95,USD,bank_transfer,grocery,DE,GB,mobile,False,normal_activity
TXN0000034,ACCT000521,BEN000258,DEV000289,2025-05-20T16:09:00,46.73,GBP,card_payment,electronics,SG,GB,mobile,True,mule_account_style_behaviour
TXN0000035,ACCT000011,BEN000765,DEV000197,2025-12-11T17:23:00,87.24,GBP,bank_transfer,cash_services,GB,US,web,False,normal_activity
TXN0000036,ACCT000509,BEN000266,DEV000252,2025-11-19T12:08:00,204.42,GBP,bank_transfer,travel,GB,NL,web,False,normal_activity
