transaction_id,account_id,customer_id,aml_risk_score,aml_risk_band,aml_risk_reasons
TXN0000001,ACCT000040,CUST000496,8,Info,Cross-border transaction
TXN0000002,ACCT000072,CUST000346,0,Info,No material AML indicators
TXN0000003,ACCT000563,CUST000189,0,Info,No material AML indicators
TXN0000004,ACCT000175,CUST000248,0,Info,No material AML indicators
TXN0000005,ACCT000058,CUST000130,8,Info,Cross-border transaction
TXN0000006,ACCT000417,CUST000163,8,Info,Cross-border transaction
TXN0000007,ACCT000104,CUST000247,8,Info,Cross-border transaction
TXN0000008,ACCT000043,CUST000150,8,Info,Cross-border transaction
TXN0000009,ACCT000285,CUST000285,8,Info,Cross-border transaction
TXN0000010,ACCT000386,CUST000408,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000011,ACCT000370,CUST000334,8,Info,Cross-border transaction
TXN0000012,ACCT000410,CUST000259,0,Info,No material AML indicators
TXN0000013,ACCT000017,CUST000263,8,Info,Cross-border transaction
TXN0000014,ACCT000204,CUST000216,8,Info,Cross-border transaction
TXN0000015,ACCT000241,CUST000376,8,Info,Cross-border transaction
TXN0000016,ACCT000206,CUST000408,0,Info,No material AML indicators
TXN0000017,ACCT000392,CUST000210,8,Info,Cross-border transaction
TXN0000018,ACCT000161,CUST000065,33,Low,Mule-account style activity; Cross-border transaction; Synthetic suspicious helper label present
TXN0000019,ACCT000443,CUST000100,8,Info,Cross-border transaction
TXN0000020,ACCT000655,CUST000004,8,Info,Cross-border transaction
TXN0000021,ACCT000463,CUST000415,29,Low,New beneficiary high-value payment; Cross-border transaction; Synthetic suspicious helper label present
TXN0000022,ACCT000273,CUST000205,8,Info,Cross-border transaction
TXN0000023,ACCT000305,CUST000154,8,Info,Cross-border transaction
TXN0000024,ACCT000410,CUST000259,8,Info,Cross-border transaction
TXN0000025,ACCT000507,CUST000141,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000026,ACCT000212,CUST000470,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000027,ACCT000027,CUST000294,0,Info,No material AML indicators
TXN0000028,ACCT000492,CUST000237,8,Info,Cross-border transaction
TXN0000029,ACCT000464,CUST000140,8,Info,Cross-border transaction
TXN0000030,ACCT000072,CUST000346,8,Info,Cross-border transaction
TXN0000031,ACCT000439,CUST000497,8,Info,Cross-border transaction
TXN0000032,ACCT000051,CUST000302,0,Info,No material AML indicators
TXN0000033,ACCT000451,CUST000201,8,Info,Cross-border transaction
TXN0000034,ACCT000521,CUST000130,33,Low,Mule-account style activity; Cross-border transaction; Synthetic suspicious helper label present
TXN0000035,ACCT000011,CUST000203,8,Info,Cross-border transaction
TXN0000036,ACCT000509,CUST000035,8,Info,Cross-border transaction
TXN0000037,ACCT000085,CUST000230,0,Info,No material AML indicators
TXN0000038,ACCT000186,CUST000220,8,Info,Cross-border transaction
TXN0000039,ACCT000494,CUST000328,8,Info,Cross-border transaction
TXN0000040,ACCT000249,CUST000462,8,Info,Cross-border transaction
TXN0000041,ACCT000684,CUST000459,8,Info,Cross-border transaction
TXN0000042,ACCT000671,CUST000270,8,Info,Cross-border transaction
TXN0000043,ACCT000691,CUST000451,8,Info,Cross-border transaction
TXN0000044,ACCT000074,CUST000344,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000045,ACCT000124,CUST000437,8,Info,Cross-border transaction
TXN0000046,ACCT000129,CUST000223,8,Info,Cross-border transaction
TXN0000047,ACCT000410,CUST000259,8,Info,Cross-border transaction
TXN0000048,ACCT000302,CUST000192,8,Info,Cross-border transaction
TXN0000049,ACCT000523,CUST000159,8,Info,Cross-border transaction
TXN0000050,ACCT000198,CUST000384,8,Info,Cross-border transaction
TXN0000051,ACCT000140,CUST000462,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000052,ACCT000455,CUST000341,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000053,ACCT000433,CUST000170,0,Info,No material AML indicators
TXN0000054,ACCT000484,CUST000411,8,Info,Cross-border transaction
TXN0000055,ACCT000219,CUST000004,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000056,ACCT000369,CUST000463,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000057,ACCT000650,CUST000435,8,Info,Cross-border transaction
TXN0000058,ACCT000428,CUST000297,8,Info,Cross-border transaction
TXN0000059,ACCT000653,CUST000329,8,Info,Cross-border transaction
TXN0000060,ACCT000304,CUST000466,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000061,ACCT000032,CUST000473,8,Info,Cross-border transaction
TXN0000062,ACCT000533,CUST000385,8,Info,Cross-border transaction
TXN0000063,ACCT000323,CUST000437,8,Info,Cross-border transaction
TXN0000064,ACCT000030,CUST000037,8,Info,Cross-border transaction
TXN0000065,ACCT000098,CUST000340,8,Info,Cross-border transaction
TXN0000066,ACCT000220,CUST000229,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000067,ACCT000134,CUST000142,37,Low,Account takeover style activity; Cross-border transaction; Synthetic suspicious helper label present
TXN0000068,ACCT000480,CUST000306,0,Info,No material AML indicators
TXN0000069,ACCT000428,CUST000297,8,Info,Cross-border transaction
TXN0000070,ACCT000231,CUST000418,8,Info,Cross-border transaction
TXN0000071,ACCT000060,CUST000068,0,Info,No material AML indicators
TXN0000072,ACCT000055,CUST000278,8,Info,Cross-border transaction
TXN0000073,ACCT000662,CUST000111,33,Low,Mule-account style activity; Cross-border transaction; Synthetic suspicious helper label present
TXN0000074,ACCT000242,CUST000311,0,Info,No material AML indicators
TXN0000075,ACCT000076,CUST000270,8,Info,Cross-border transaction
TXN0000076,ACCT000499,CUST000377,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000077,ACCT000609,CUST000304,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000078,ACCT000086,CUST000370,8,Info,Cross-border transaction
TXN0000079,ACCT000662,CUST000111,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present
TXN0000080,ACCT000508,CUST000373,35,Low,High-risk jurisdiction exposure; Cross-border transaction; Synthetic suspicious helper label present
TXN0000081,ACCT000177,CUST000262,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000082,ACCT000543,CUST000176,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000083,ACCT000294,CUST000488,8,Info,Cross-border transaction
TXN0000084,ACCT000445,CUST000127,8,Info,Cross-border transaction
TXN0000085,ACCT000089,CUST000405,8,Info,Cross-border transaction
TXN0000086,ACCT000171,CUST000177,8,Info,Cross-border transaction
TXN0000087,ACCT000542,CUST000197,37,Low,Account takeover style activity; Cross-border transaction; Synthetic suspicious helper label present
TXN0000088,ACCT000564,CUST000033,8,Info,Cross-border transaction
TXN0000089,ACCT000008,CUST000041,0,Info,No material AML indicators
TXN0000090,ACCT000151,CUST000465,13,Low,Cross-border transaction; Synthetic suspicious helper label present
TXN0000091,ACCT000426,CUST000051,8,Info,Cross-border transaction
TXN0000092,ACCT000635,CUST000326,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000093,ACCT000473,CUST000249,8,Info,Cross-border transaction
TXN0000094,ACCT000495,CUST000067,35,Low,High-risk jurisdiction exposure; Cross-border transaction; Synthetic suspicious helper label present
TXN0000095,ACCT000273,CUST000205,8,Info,Cross-border transaction
TXN0000096,ACCT000039,CUST000409,13,Low,Cross-border transaction; Synthetic suspicious helper label present
TXN0000097,ACCT000537,CUST000292,8,Info,Cross-border transaction
TXN0000098,ACCT000560,CUST000189,8,Info,Cross-border transaction
TXN0000099,ACCT000311,CUST000334,35,Low,High-risk jurisdiction exposure; Cross-border transaction; Synthetic suspicious helper label present
TXN0000100,ACCT000355,CUST000206,0,Info,No material AML indicators
TXN0000101,ACCT000165,CUST000274,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000102,ACCT000317,CUST000204,8,Info,Cross-border transaction
TXN0000103,ACCT000170,CUST000342,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000104,ACCT000295,CUST000202,8,Info,Cross-border transaction
TXN0000105,ACCT000094,CUST000314,0,Info,No material AML indicators
TXN0000106,ACCT000425,CUST000456,8,Info,Cross-border transaction
TXN0000107,ACCT000174,CUST000325,0,Info,No material AML indicators
TXN0000108,ACCT000508,CUST000373,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000109,ACCT000363,CUST000289,8,Info,Cross-border transaction
TXN0000110,ACCT000628,CUST000442,8,Info,Cross-border transaction
TXN0000111,ACCT000155,CUST000123,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000112,ACCT000192,CUST000294,8,Info,Cross-border transaction
TXN0000113,ACCT000171,CUST000177,37,Low,Account takeover style activity; Cross-border transaction; Synthetic suspicious helper label present
TXN0000114,ACCT000442,CUST000235,8,Info,Cross-border transaction
TXN0000115,ACCT000075,CUST000357,8,Info,Cross-border transaction
TXN0000116,ACCT000481,CUST000303,8,Info,Cross-border transaction
TXN0000117,ACCT000574,CUST000309,8,Info,Cross-border transaction
TXN0000118,ACCT000473,CUST000249,8,Info,Cross-border transaction
TXN0000119,ACCT000095,CUST000426,8,Info,Cross-border transaction
TXN0000120,ACCT000346,CUST000081,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000121,ACCT000374,CUST000161,35,Low,High-risk jurisdiction exposure; Cross-border transaction; Synthetic suspicious helper label present
TXN0000122,ACCT000274,CUST000013,8,Info,Cross-border transaction
TXN0000123,ACCT000327,CUST000077,0,Info,No material AML indicators
TXN0000124,ACCT000534,CUST000475,0,Info,No material AML indicators
TXN0000125,ACCT000585,CUST000337,8,Info,Cross-border transaction
TXN0000126,ACCT000211,CUST000137,8,Info,Cross-border transaction
TXN0000127,ACCT000231,CUST000418,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present
TXN0000128,ACCT000146,CUST000028,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present
TXN0000129,ACCT000282,CUST000074,0,Info,No material AML indicators
TXN0000130,ACCT000383,CUST000417,8,Info,Cross-border transaction
TXN0000131,ACCT000500,CUST000050,8,Info,Cross-border transaction
TXN0000132,ACCT000188,CUST000123,8,Info,Cross-border transaction
TXN0000133,ACCT000152,CUST000370,30,Low,High-risk jurisdiction exposure; Cross-border transaction
TXN0000134,ACCT000024,CUST000460,8,Info,Cross-border transaction
TXN0000135,ACCT000066,CUST000319,65,Medium,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present
TXN0000136,ACCT000037,CUST000028,8,Info,Cross-border transaction
TXN0000137,ACCT000146,CUST000028,8,Info,Cross-border transaction
TXN0000138,ACCT000487,CUST000457,35,Low,High-risk jurisdiction exposure; Cross-border transaction; Synthetic suspicious helper label present
TXN0000139,ACCT000542,CUST000197,8,Info,Cross-border transaction
TXN0000140,ACCT000682,CUST000438,0,Info,No material AML indicators
TXN0000141,ACCT000382,CUST000494,37,Low,Account takeover style activity; Cross-border transaction; Synthetic suspicious helper label present
TXN0000142,ACCT000319,CUST000197,0,Info,No material AML indicators
TXN0000143,ACCT000630,CUST000187,0,Info,No material AML indicators
TXN0000144,ACCT000103,CUST000005,8,Info,Cross-border transaction
TXN0000145,ACCT000442,CUST000235,13,Low,Cross-border transaction; Synthetic suspicious helper label present
TXN0000146,ACCT000573,CUST000359,8,Info,Cross-border transaction
TXN0000147,ACCT000352,CUST000295,8,Info,Cross-border transaction
TXN0000148,ACCT000184,CUST000217,8,Info,Cross-border transaction
TXN0000149,ACCT000435,CUST000419,0,Info,No material AML indicators
TXN0000150,ACCT000697,CUST000310,8,Info,Cross-border transaction
TXN0000151,ACCT000166,CUST000232,8,Info,Cross-border transaction
TXN0000152,ACCT000395,CUST000270,41,Medium,Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present
TXN0000153,ACCT000036,CUST000338,0,Info,No material AML indicators
TXN0000154,ACCT000163,CUST000431,43,Medium,Structuring pattern indicator; Repeated round-amount activity; Cross-border transaction; Synthetic suspicious helper label present
TXN0000155,ACCT000537,CUST000292,35,Low,High-risk jurisdiction exposure; Cross-border transaction; Synthetic suspicious helper label present
TXN0000156,ACCT000348,CUST000338,63,Medium,High-risk jurisdiction exposure; Rapid movement of funds; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present
TXN0000157,ACCT000140,CUST000462,0,Info,No material AML indicators
TXN0000158,ACCT000235,CUST000326,8,Info,Cross-border transaction
TXN0000159,ACCT000085,CUST000230,35,Low,High-risk jurisdiction exposure; Cross-border transaction; Synthetic suspicious helper label present
TXN0000160,ACCT000546,CUST000238,8,Info,Cross-border transaction
TXN0000161,ACCT000661,CUST000120,8,Info,Cross-border transaction
