transaction_id,account_id,customer_id,is_suspicious,suspicious_pattern,anomaly_score,is_anomaly,anomaly_rank,anomaly_band,top_anomaly_reasons
TXN0003408,ACCT000621,CUST000116,True,round_number_payments,100.0,True,1,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0000424,ACCT000598,CUST000460,True,round_number_payments,96.834,True,2,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0001106,ACCT000029,CUST000014,True,round_number_payments,96.3972,True,3,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0002712,ACCT000073,CUST000120,True,rapid_movement_of_funds,95.7553,True,4,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0003854,ACCT000610,CUST000308,True,round_number_payments,95.6459,True,5,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0002120,ACCT000373,CUST000369,True,rapid_movement_of_funds,95.3009,True,6,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0002401,ACCT000645,CUST000035,True,rapid_movement_of_funds,94.4244,True,7,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT
TXN0002302,ACCT000599,CUST000395,True,rapid_movement_of_funds,94.2353,True,8,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0002757,ACCT000546,CUST000238,True,round_number_payments,94.0381,True,9,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN
TXN0000891,ACCT000108,CUST000298,True,rapid_movement_of_funds,94.0217,True,10,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT
TXN0002227,ACCT000140,CUST000462,True,round_number_payments,93.7466,True,11,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0002209,ACCT000693,CUST000133,True,round_number_payments,93.6632,True,12,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0000421,ACCT000430,CUST000129,True,rapid_movement_of_funds,92.7005,True,13,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0004972,ACCT000458,CUST000359,True,round_number_payments,92.5914,True,14,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0004698,ACCT000358,CUST000183,True,round_number_payments,92.3517,True,15,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0000301,ACCT000027,CUST000294,True,rapid_movement_of_funds,91.6146,True,16,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
TXN0003538,ACCT000694,CUST000042,True,round_number_payments,91.3826,True,17,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0001296,ACCT000180,CUST000023,True,round_number_payments,90.8212,True,18,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0001698,ACCT000238,CUST000466,True,round_number_payments,90.7562,True,19,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0003347,ACCT000550,CUST000158,True,round_number_payments,90.4775,True,20,Critical,HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION
TXN0000492,ACCT000564,CUST000033,True,rapid_movement_of_funds,90.377,True,21,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0001554,ACCT000234,CUST000206,True,round_number_payments,90.1304,True,22,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION
TXN0001308,ACCT000062,CUST000059,True,rapid_movement_of_funds,89.7649,True,23,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; CROSS_BORDER_TRANSACTION
