transaction_id,account_id,customer_id,fraud_probability,fraud_prediction,aml_risk_score,aml_risk_band,priority_score,priority_band,priority_reasons,recommended_action
TXN0000135,ACCT000066,CUST000319,0.9999798757174119,1,65,Medium,80.75,High,Fraud probability above threshold; structuring pattern flag; high risk jurisdiction flag; round amount repetition flag,Investigator review
TXN0001099,ACCT000219,CUST000004,0.9999931637906588,1,65,Medium,80.75,High,Fraud probability above threshold; structuring pattern flag; high risk jurisdiction flag; round amount repetition flag,Investigator review
TXN0004144,ACCT000083,CUST000355,0.9998739461439274,1,65,Medium,80.74,High,Fraud probability above threshold; structuring pattern flag; high risk jurisdiction flag; round amount repetition flag,Investigator review
TXN0001547,ACCT000137,CUST000128,0.999792358611038,1,65,Medium,80.74,High,Fraud probability above threshold; structuring pattern flag; high risk jurisdiction flag; round amount repetition flag,Investigator review
TXN0001850,ACCT000033,CUST000253,0.9999999999999987,1,63,Medium,79.65,High,Fraud probability above threshold; rapid movement flag; high risk jurisdiction flag,Investigator review
TXN0003599,ACCT000600,CUST000125,0.9999999996738682,1,63,Medium,79.65,High,Fraud probability above threshold; rapid movement flag; high risk jurisdiction flag,Investigator review
TXN0002001,ACCT000344,CUST000004,0.9999274472724614,1,59,Medium,77.45,High,Fraud probability above threshold; high risk jurisdiction flag; account takeover indicator,Investigator review
TXN0000703,ACCT000241,CUST000376,0.9999433970234426,1,59,Medium,77.45,High,Fraud probability above threshold; high risk jurisdiction flag; account takeover indicator,Investigator review
TXN0003494,ACCT000594,CUST000231,0.9999053724298371,1,59,Medium,77.45,High,Fraud probability above threshold; high risk jurisdiction flag; account takeover indicator,Investigator review
TXN0001826,ACCT000067,CUST000111,0.9999574320671805,1,59,Medium,77.45,High,Fraud probability above threshold; high risk jurisdiction flag; account takeover indicator,Investigator review
TXN0004582,ACCT000246,CUST000011,0.9999542956762303,1,59,Medium,77.45,High,Fraud probability above threshold; high risk jurisdiction flag; account takeover indicator,Investigator review
TXN0002797,ACCT000396,CUST000400,0.9998504225620785,1,59,Medium,77.44,High,Fraud probability above threshold; high risk jurisdiction flag; account takeover indicator,Investigator review
TXN0002958,ACCT000372,CUST000236,0.9996126961998585,1,59,Medium,77.43,High,Fraud probability above threshold; high risk jurisdiction flag; account takeover indicator,Investigator review
TXN0003620,ACCT000594,CUST000231,0.9999413677738347,1,55,Medium,75.25,High,Fraud probability above threshold; high risk jurisdiction flag; mule activity indicator,Investigator review
TXN0002983,ACCT000063,CUST000394,0.9997397249144486,1,55,Medium,75.24,High,Fraud probability above threshold; high risk jurisdiction flag; mule activity indicator,Investigator review
TXN0003683,ACCT000403,CUST000047,0.9997250049450724,1,55,Medium,75.24,High,Fraud probability above threshold; high risk jurisdiction flag; mule activity indicator,Investigator review
TXN0002508,ACCT000308,CUST000499,0.9995488533954958,1,55,Medium,75.23,High,Fraud probability above threshold; high risk jurisdiction flag; mule activity indicator,Investigator review
TXN0001062,ACCT000426,CUST000051,0.998470315883969,1,55,Medium,75.18,High,Fraud probability above threshold; high risk jurisdiction flag; mule activity indicator,Investigator review
TXN0000255,ACCT000437,CUST000080,0.999999874443638,1,53,Medium,74.15,High,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Investigator review
TXN0003228,ACCT000665,CUST000125,0.9999965332178997,1,53,Medium,74.15,High,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Investigator review
TXN0001552,ACCT000048,CUST000025,0.9999998131123301,1,53,Medium,74.15,High,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Investigator review
TXN0003852,ACCT000088,CUST000495,0.9999999404370086,1,53,Medium,74.15,High,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Investigator review
TXN0002341,ACCT000569,CUST000075,0.9999998852654838,1,53,Medium,74.15,High,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Investigator review
TXN0000942,ACCT000224,CUST000263,0.9999998923101452,1,53,Medium,74.15,High,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Investigator review
TXN0002718,ACCT000084,CUST000038,0.9999999986566808,1,53,Medium,74.15,High,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Investigator review
TXN0000314,ACCT000664,CUST000057,0.9999315956931538,1,51,Medium,73.05,High,Fraud probability above threshold; high risk jurisdiction flag; new beneficiary high value flag,Investigator review
TXN0000523,ACCT000186,CUST000220,0.9999979091092175,1,43,Medium,68.65,Medium,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Queue for monitoring
TXN0000509,ACCT000283,CUST000442,0.9999969827453334,1,43,Medium,68.65,Medium,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Queue for monitoring
TXN0001039,ACCT000571,CUST000065,0.9999674853402997,1,43,Medium,68.65,Medium,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Queue for monitoring
TXN0001565,ACCT000690,CUST000233,0.9999537932235166,1,43,Medium,68.65,Medium,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Queue for monitoring
TXN0002045,ACCT000169,CUST000380,0.9999937948616838,1,43,Medium,68.65,Medium,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Queue for monitoring
TXN0001273,ACCT000335,CUST000128,0.9999910368113623,1,43,Medium,68.65,Medium,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Queue for monitoring
TXN0000154,ACCT000163,CUST000431,0.999626744221225,1,43,Medium,68.63,Medium,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Queue for monitoring
TXN0003015,ACCT000010,CUST000442,0.9989958417751178,1,43,Medium,68.6,Medium,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Queue for monitoring
TXN0001464,ACCT000035,CUST000045,0.9976253764551614,1,43,Medium,68.54,Medium,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Queue for monitoring
TXN0004653,ACCT000599,CUST000395,0.9939199127818561,1,43,Medium,68.38,Medium,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Queue for monitoring
TXN0003308,ACCT000495,CUST000067,1.0,1,41,Medium,67.55,Medium,Fraud probability above threshold; rapid movement flag,Queue for monitoring
TXN0003750,ACCT000216,CUST000216,0.9999999999999998,1,41,Medium,67.55,Medium,Fraud probability above threshold; rapid movement flag,Queue for monitoring
TXN0004621,ACCT000526,CUST000382,0.9999864324149488,1,41,Medium,67.55,Medium,Fraud probability above threshold; rapid movement flag,Queue for monitoring
TXN0004048,ACCT000450,CUST000253,1.0,1,41,Medium,67.55,Medium,Fraud probability above threshold; rapid movement flag,Queue for monitoring
TXN0002391,ACCT000264,CUST000047,0.9999946637358574,1,41,Medium,67.55,Medium,Fraud probability above threshold; rapid movement flag,Queue for monitoring
TXN0001998,ACCT000117,CUST000399,0.999999999999988,1,41,Medium,67.55,Medium,Fraud probability above threshold; rapid movement flag,Queue for monitoring
TXN0001004,ACCT000692,CUST000024,0.9999999999967542,1,41,Medium,67.55,Medium,Fraud probability above threshold; rapid movement flag,Queue for monitoring
TXN0001235,ACCT000441,CUST000128,0.9999999999960487,1,41,Medium,67.55,Medium,Fraud probability above threshold; rapid movement flag,Queue for monitoring
TXN0003799,ACCT000645,CUST000035,0.9999999999823117,1,41,Medium,67.55,Medium,Fraud probability above threshold; rapid movement flag,Queue for monitoring
TXN0003930,ACCT000321,CUST000307,0.9999999999786515,1,41,Medium,67.55,Medium,Fraud probability above threshold; rapid movement flag,Queue for monitoring
TXN0001618,ACCT000065,CUST000047,0.9999999993647006,1,41,Medium,67.55,Medium,Fraud probability above threshold; rapid movement flag,Queue for monitoring
TXN0000563,ACCT000693,CUST000133,0.9999999637990056,1,41,Medium,67.55,Medium,Fraud probability above threshold; rapid movement flag,Queue for monitoring
TXN0000621,ACCT000067,CUST000111,0.999999957957667,1,41,Medium,67.55,Medium,Fraud probability above threshold; rapid movement flag,Queue for monitoring
TXN0002924,ACCT000329,CUST000060,0.9999630394420284,1,37,Low,65.35,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0003222,ACCT000479,CUST000103,0.9999214024969193,1,37,Low,65.35,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0001743,ACCT000116,CUST000366,0.9999605425849754,1,37,Low,65.35,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0001920,ACCT000407,CUST000235,0.9999115843578977,1,37,Low,65.35,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0003120,ACCT000696,CUST000196,0.9999032039122768,1,37,Low,65.35,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0002270,ACCT000621,CUST000116,0.9999250602169321,1,37,Low,65.35,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0002186,ACCT000420,CUST000458,0.999937469873893,1,37,Low,65.35,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0004778,ACCT000054,CUST000325,0.9999953522065712,1,37,Low,65.35,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0002708,ACCT000368,CUST000441,0.9999261274693589,1,37,Low,65.35,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0003662,ACCT000235,CUST000326,0.9999382920761396,1,37,Low,65.35,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0001577,ACCT000690,CUST000233,0.9999601091945035,1,37,Low,65.35,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0001149,ACCT000591,CUST000106,0.9999277718239866,1,37,Low,65.35,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0003231,ACCT000655,CUST000004,0.9998872188053681,1,37,Low,65.34,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0003757,ACCT000578,CUST000093,0.9998284864228538,1,37,Low,65.34,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0000702,ACCT000098,CUST000340,0.999687690247488,1,37,Low,65.34,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0004772,ACCT000189,CUST000380,0.9997549689139206,1,37,Low,65.34,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0002731,ACCT000342,CUST000500,0.999822702078563,1,37,Low,65.34,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0003428,ACCT000492,CUST000237,0.9998369856470731,1,37,Low,65.34,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0004970,ACCT000682,CUST000438,0.9998567899819671,1,37,Low,65.34,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0002675,ACCT000292,CUST000045,0.999469407430978,1,37,Low,65.33,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0001776,ACCT000189,CUST000380,0.9995048344161009,1,37,Low,65.33,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0003869,ACCT000028,CUST000158,0.9994309800039621,1,37,Low,65.32,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0001124,ACCT000323,CUST000437,0.9992159988052578,1,37,Low,65.31,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0000067,ACCT000134,CUST000142,0.998942214934115,1,37,Low,65.3,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0001606,ACCT000184,CUST000217,0.9984533392313332,1,37,Low,65.28,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0003283,ACCT000228,CUST000053,0.9984108481914516,1,37,Low,65.28,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0002419,ACCT000055,CUST000278,0.998282718644442,1,37,Low,65.27,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0001654,ACCT000147,CUST000440,0.9980512174229536,1,37,Low,65.26,Medium,Fraud probability above threshold; account takeover indicator,Queue for monitoring
TXN0001722,ACCT000541,CUST000200,0.9999293560518846,1,35,Low,64.25,Medium,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Queue for monitoring
TXN0000721,ACCT000535,CUST000125,0.9999989859319101,1,35,Low,64.25,Medium,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Queue for monitoring
TXN0004760,ACCT000672,CUST000159,0.9997639200424149,1,35,Low,64.24,Medium,Fraud probability above threshold; structuring pattern flag; round amount repetition flag,Queue for monitoring
